ticker,iv1_pct,iv2_pct,fwd_var,fwd_vol_pct,ff,note,ff_pct
QCOM,46.08289456,37.98031571,0.07613755918344682,27.593035205182996,0.670091536408576,,67.0091536408576
RDDT,99.16199674,82.06064948,0.3634798788695075,60.28929248792919,0.6447696207391006,,64.47696207391006
CAT,46.68674892,38.7711192,0.08267468433220967,28.75320579208685,0.6237058663159093,,62.37058663159093
GM,45.63940662,38.67596678,0.09087053761096278,30.14474043858444,0.5140089433837955,,51.40089433837956
MRNA,102.5284401,87.58313707,0.4829530768705533,69.49482548151,0.475339198128917,,47.5339198128917
VRTX,36.0,31.0,0.06260000000000002,25.01999200639361,0.43884938055937656,,43.88493805593765
AMD,70.0,61.0,0.25420000000000004,50.41825066382213,0.38838613157653346,,38.83861315765335
AMZN,46.93296615,40.9289271,0.11476508354771833,33.8769956678154,0.38539339822829477,,38.539339822829476
PLTR,75.70421903,66.08960111,0.3004541970815613,54.81370240018104,0.38111851079320574,,38.11185107932057
F,35.98462224,31.42646138,0.06803519119817601,26.083556352264548,0.3795903347695091,,37.95903347695091
BABA,57.07546836,50.83038675,0.190984734579579,43.70180025806477,0.30602098821929524,,30.602098821929523
NVTS,184.0,164.0,1.9935999999999994,141.1949007577823,0.3031632092411695,,30.31632092411695
SMCI,89.70698948,80.30751919,0.48512513153396053,69.65092472709608,0.2879511626225626,,28.795116262256258
QS,135.0,121.0,1.1057,105.152270541344,0.2838524485015321,,28.385244850153207
UUUU,149.0,134.0,1.3711000000000007,117.09397934992221,0.27248216199681996,,27.248216199681995
TM,30.04293547,27.62726673,0.06239537622865456,24.979066481486967,0.20272450903103514,,20.272450903103515
INTC,73.66346009,68.04458645,0.3833826137872025,61.91789836446344,0.18969574284319848,,18.969574284319847
CRML,200.5235159,185.6566789,2.8727124411457843,169.49077972402463,0.1830939489835659,,18.30939489835659
BA,41.51181062,38.46677381,0.1236154953748659,35.15899534612244,0.1806881912107365,,18.068819121073652
RGTI,164.8682768,153.3068341,1.9824422068528447,140.7992260934997,0.17094590200742213,,17.094590200742214
TSLA,62.59801055,59.19294979,0.3089099684865012,55.579669708131696,0.12627532474957234,,12.627532474957235
ABAT,179.0,171.0,2.6440999999999995,162.6068879229905,0.10081437684714299,,10.081437684714299
ONDS,141.0,135.0,1.6569000000000003,128.72062771754963,0.0953955282862268,,9.53955282862268
XBI,33.09049057,32.43597489,0.10092043679661616,31.767977083317117,0.041630396647994165,,4.163039664799417
XLE,24.38837083,24.5467361,0.06102918745844916,24.704086192055183,-0.01277988425075673,,-1.277988425075673
MU,67.68853985,69.36494953,0.504125401957386,71.00178884770341,-0.0466643031319989,,-4.66643031319989
NVDA,44.6,46.4,0.2316759999999999,48.13273314491916,-0.07339564811918571,,-7.339564811918571
NIO,79.61652767,82.88688721,0.7401680664498647,86.03302077980666,-0.07458174839901391,,-7.458174839901391
PDD,38.0,40.0,0.1756000000000001,41.904653679513935,-0.09317947618363964,,-9.317947618363965
AVGO,50.0,53.7,0.3267380000000001,57.16100069103061,-0.12527773489721764,,-12.527773489721763
DE,27.05484619,29.25684413,0.09799611545296741,31.304331242332488,-0.13574751108517408,,-13.574751108517408
